concept: statue               confidence: 0.996
concept: sculpture            confidence: 0.994
concept: architecture         confidence: 0.991
concept: travel               confidence: 0.988
concept: no person            confidence: 0.981
concept: art                  confidence: 0.98
concept: sky                  confidence: 0.973
concept: monument             confidence: 0.968
concept: city                 confidence: 0.962
concept: liberty              confidence: 0.955
concept: fame                 confidence: 0.949
concept: sightseeing          confidence: 0.948
concept: ancient              confidence: 0.945
concept: old                  confidence: 0.942
concept: public square        confidence: 0.938
concept: popularity           confidence: 0.928
concept: torch                confidence: 0.908
concept: bronze               confidence: 0.891
concept: outdoors             confidence: 0.884
concept: marble               confidence: 0.868
